,Name of the course,Provider,Rating,Amount of reviews,Start date,Duration (weeks),Workload (hours a week)
0,The Data Scientist’s Toolbox,Coursera,3.5,166,2022-08-29,4.0,4.5
1,R Programming,Coursera,3.0,246,2022-08-29,4.0,14.2
2,Computational Social Science,Coursera,5.0,105,,26.0,3.0
3,The Analytics Edge,edX,4.5,80,,13.0,12.5
4,Introduction to Data Science in Python,Coursera,2.5,46,2022-09-05,4.0,7.8
5,Getting and Cleaning Data,Coursera,3.5,57,2022-08-29,4.0,5.0
6,Become a Data Analyst,Udacity,4.5,70,,17.0,10.0
7,Data Science and Agile Systems for Product Management,edX,4.5,53,,4.0,2.5
8,Python for Data Science,edX,4.5,47,2022-12-06,10.0,9.0
9,Introducción a la Ciencia de Datos con Python,edX,5.0,65,,4.0,7.0
10,Probability - The Science of Uncertainty and Data,edX,5.0,34,2022-08-29,16.0,12.0
11,Spatial Data Science: The New Frontier in Analytics,Independent,5.0,45,2022-10-05,6.0,2.5
12,Mining Massive Datasets,edX,4.5,25,,7.0,7.5
13,Introduction to Computational Thinking and Data Science,edX,4.5,31,2022-10-12,9.0,15.0
14,Statistical Inference,Coursera,3.0,34,2022-08-29,4.0,13.5
15,Regression Models,Coursera,2.5,34,2022-08-29,4.0,13.5
16,Statistics and R,edX,3.5,20,,4.0,3.0
17,Exploratory Data Analysis,Coursera,4.0,39,2022-08-29,,3.0
18,Introduction to Big Data,Coursera,2.5,35,2022-08-29,3.0,5.7
19,Data Visualization,Coursera,3.0,21,2022-09-05,4.0,3.8
20,Pattern Discovery in Data Mining,Coursera,2.0,21,2022-09-05,4.0,4.2
21,Finding Hidden Messages in DNA (Bioinformatics I),Coursera,4.5,17,2022-09-05,5.0,3.2
22,Whole genome sequencing of bacterial genomes - tools and applications,Coursera,5.0,22,2022-09-12,5.0,6.5
23,Probability and Statistics in Data Science using Python,edX,2.0,30,2022-12-06,10.0,11.0
24,Making Sense of Data in the Media,FutureLearn,4.5,35,,3.0,3.0
25,Introduction to Transforming with Data Analytics and the Digital Organization,edX,4.5,34,,4.0,2.5
26,Reproducible Research,Coursera,4.0,27,2022-08-29,4.0,7.5
27,A Crash Course in Data Science,Coursera,3.5,25,2022-08-29,1.0,7.5
28,Data Science: R Basics,edX,4.5,11,,8.0,1.5
29,Algorithms for Big Data (COMPSCI 229r),YouTube,5.0,2,,,1.0
