Тип квартиры,Цена,Площадь (м²),Ссылка на покупку
2-комн.,10179436,47.1,"https://samolet.ru/project/sputnik/flats/208244/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10182764,46.6,"https://samolet.ru/project/sputnik/flats/208331/?ordering=filter_price,pk&free=1&project=7"
1-комн.,10184452,49.19,"https://samolet.ru/project/sputnik/flats/114478/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10278038,47.3,"https://samolet.ru/project/sputnik/flats/208301/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10289057,47.5,"https://samolet.ru/project/sputnik/flats/208038/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10320072,49.85,"https://samolet.ru/project/sputnik/flats/95107/?ordering=filter_price,pk&free=1&project=7"
1-комн.,10332981,49.19,"https://samolet.ru/project/sputnik/flats/114579/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10366584,54.3,"https://samolet.ru/project/sputnik/flats/210989/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10366961,47.0,"https://samolet.ru/project/sputnik/flats/208324/?ordering=filter_price,pk&free=1&project=7"
2-комн.,10446219,50.7,"https://samolet.ru/project/sputnik/flats/208098/?ordering=filter_price,pk&free=1&project=7"
